#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
ACE	1636	133	115	124	9	106180	1	69
ADAMTSL4	54507	99	88	94	9	610113	0	59
ALDH5A1	7915	121	106	113	9	610045	1	60
ALG12	79087	141	128	77	9	607144	1	37
ALG8	79053	60	50	56	9	608103	3	23
ANK2	287	644	448	633	9	106410	39	231
APOC4-APOC2	100533990	28	23	#	9	#	#	#
ARL13B	200894	84	71	71	9	608922	1	34
ARL6	84100	51	35	43	9	608845	0	11
ASTN2	23245	205	152	#	9	612856	#	#
BBS12	166379	104	75	95	9	610683	1	30
BMP4	652	123	41	116	9	112262	0	21
BRWD3	254065	214	201	96	9	300553	2	41
CARD14	79092	39	35	25	9	607211	#	#
CCNO	10309	25	19	15	9	607752	#	#
CDHR1	92211	191	167	167	9	609502	4	106
CIT	11113	22	20	12	9	605629	0	2
CLDN14	23562	127	105	72	9	605608	2	32
CNNM4	26504	92	87	65	9	607805	2	39
CRB2	286204	36	33	10	9	609720	#	#
CRYGD	1421	50	44	33	9	123690	1	3
DARS	1615	26	25	23	9	603084	0	1
DDHD2	23259	62	60	23	9	615003	0	4
DLL4	54567	16	10	15	9	605185	#	#
DNAAF1	123872	201	141	164	9	613190	8	39
DNAAF4	161582	24	22	15	9	608706	0	1
DNAJB2	3300	40	38	28	9	604139	0	6
DNAJB6	10049	218	157	162	9	611332	3	58
DNMT1	1786	187	143	181	9	126375	9	49
DSPP	1834	55	49	40	9	125485	1	15
EARS2	124454	101	91	84	9	612799	2	40
EPB42	2038	68	59	60	9	177070	4	29
ERBB4	2066	32	27	6	9	600543	0	1
ERCC3	2071	63	62	43	9	133510	0	26
ERCC6-PGBD3	101243544	147	65	#	9	#	#	#
ETV6	2120	38	31	15	9	600618	#	#
EYA4	2070	180	104	178	9	603550	4	59
FAM20A	54757	26	25	14	9	611062	0	1
FAN1	22909	148	139	12	9	613534	0	1
FANCB	2187	212	168	84	9	300515	1	16
FLAD1	80308	26	20	23	9	610595	#	#
FREM1	158326	295	263	225	9	608944	4	113
FZD4	8322	122	113	116	9	604579	0	48
GABRB3	2562	279	259	53	9	137192	0	4
GBA2	57704	65	61	19	9	609471	0	3
GIPC3	126326	59	52	46	9	608792	1	10
GM2A	2760	85	75	79	9	613109	0	31
GMDS	2762	55	55	#	9	602884	#	#
GNA11	2767	32	28	14	9	139313	0	1
GNB1	2782	117	104	21	9	139380	1	0
GRIA3	2892	152	144	22	9	305915	1	3
GRM6	2916	110	86	86	9	604096	0	12
HADH	3033	67	42	63	9	601609	1	19
HADHB	3032	79	61	67	9	143450	5	21
HEPACAM	220296	124	113	88	9	611642	0	50
HFE	3077	75	41	69	9	613609	3	19
HIBCH	26275	41	38	27	9	610690	#	#
HPS6	79803	61	44	53	9	607522	3	13
IDH2	3418	77	44	22	9	147650	1	3
IL12RB1	3594	51	49	46	9	601604	0	24
KCNB1	3745	62	59	56	9	600397	0	3
KCNJ18	100134444	16	13	13	9	613236	#	#
L2HGDH	79944	31	30	22	9	609584	1	4
LARS2	23395	85	52	84	9	604544	0	4
LDB3	11155	496	279	472	9	605906	18	114
LDLRAP1	26119	76	72	73	9	605747	1	50
LHX3	8022	91	87	52	9	600577	0	36
LHX4	89884	66	63	46	9	602146	0	19
LIAS	11019	39	39	29	9	607031	0	9
LIFR	3977	160	155	147	9	151443	1	99
LIG4	3981	219	143	151	9	601837	4	44
LOC101927157	101927157	46	43	#	9	#	#	#
LOC101927859	101927859	171	146	#	9	#	#	#
LRRC37A	9884	64	57	#	9	616555	#	#
LTBP3	4054	11	11	7	9	602090	#	#
LTBP4	8425	121	88	116	9	604710	5	35
MAK	4117	77	73	57	9	154235	1	37
MAP3K7	6885	21	21	9	9	602614	#	#
MBTPS2	51360	140	131	21	9	300294	0	7
METRNL	284207	27	27	#	9	616241	#	#
MPO	4353	25	20	15	9	606989	#	#
MRAP	56246	75	68	26	9	609196	0	9
MSX2	4488	93	57	80	9	123101	0	18
MT-CO3	4514	23	20	11	9	516050	#	#
MTFMT	123263	43	33	35	9	611766	0	1
MTTP	4547	97	85	90	9	157147	0	45
MYH6	4624	956	415	937	9	160710	45	198
NAGS	162417	48	40	40	9	608300	2	7
NDUFAF6	137682	58	55	36	9	612392	2	2
NHEJ1	79840	25	24	12	9	611290	0	1
NPM1	4869	23	22	5	9	164040	#	#
NRXN3	9369	20	20	3	9	600567	0	1
NUBPL	80224	125	108	104	9	613621	8	52
OCLN	100506658	34	31	23	9	602876	1	4
ORC1	4998	59	50	57	9	601902	2	28
PDGFB	5155	22	21	9	9	190040	0	1
PDX1	3651	70	48	50	9	600733	7	1
PEX2	5828	114	103	93	9	170993	1	55
PGM1	5236	118	68	105	9	171900	3	19
PINK1-AS	100861548	101	79	#	9	#	#	#
PLEKHG4B	153478	123	123	3	9	#	0	1
PORCN	64840	139	133	13	9	300651	0	2
PROKR2	128674	66	54	43	9	607123	4	6
PRPF8	10594	142	137	95	9	607300	1	48
PRSS23	11098	110	103	#	9	#	#	#
PUDP	8226	260	251	#	9	306480	#	#
PYY	5697	49	41	1	9	600781	0	1
RARS	5917	45	43	36	9	107820	#	#
RERE	473	45	43	9	9	605226	0	1
RFX6	222546	43	40	28	9	612659	2	6
ROGDI	79641	68	60	51	9	614574	4	23
RSPO4	343637	48	45	10	9	610573	#	#
RTTN	25914	209	166	131	9	610436	2	25
SH3BP2	6452	255	248	184	9	602104	0	55
SIX1	6495	96	55	87	9	601205	0	17
SLC27A4	10999	55	53	26	9	604194	#	#
SLC30A6	55676	21	21	#	9	611148	#	#
SLC6A1	6529	40	38	15	9	137165	0	4
SLCO2A1	6578	19	19	10	9	601460	0	1
SLX4	84464	263	200	239	9	613278	10	96
SMS	6611	145	131	26	9	300105	0	6
SOX5	6660	35	35	8	9	604975	#	#
SPR	6697	33	30	28	9	182125	0	14
SRD5A3	79644	91	83	83	9	611715	3	42
SSUH2	51066	129	74	#	9	#	#	#
STAMBP	10617	25	22	21	9	606247	0	5
STUB1	10273	44	44	10	9	607207	0	1
SYCE1	93426	115	108	2	9	611486	#	#
TAF1	6872	116	110	13	9	313650	0	3
TBCK	93627	18	15	13	9	616899	0	1
TBL1XR1	79718	31	31	9	9	608628	0	1
TFAP2A	7020	29	28	12	9	107580	0	1
THAP1	55145	75	75	40	9	609520	0	14
TMEM70	54968	92	81	72	9	612418	1	24
TMIE	259236	49	41	47	9	607237	2	17
TNNC1	7134	93	66	90	9	191040	7	29
TNXB	7148	128	126	118	9	600985	2	15
TRIM32	22954	192	139	154	9	602290	5	81
TRIO	7204	75	75	8	9	601893	#	#
TTC19	54902	120	103	103	9	613814	6	50
TTC37	9652	44	43	29	9	614589	0	11
TYRP1	7306	152	139	68	9	115501	3	28
UBR1	197131	28	28	19	9	605981	0	3
USH1G	124590	98	85	91	9	607696	2	44
VLDLR	7436	254	217	126	9	192977	5	53
VMA21	203547	151	144	11	9	300913	#	#
WDR73	84942	42	40	15	9	616144	1	2
WHRN	25861	306	179	278	9	607928	17	75
XK	7504	129	123	8	9	314850	#	#
XRCC4	7518	13	11	11	9	194363	#	#
ZNF423	23090	62	58	47	9	604557	0	14
ABAT	18	148	144	122	8	137150	3	64
ABCB7	22	153	134	45	8	300135	0	7
ABCC1	4363	219	214	16	8	158343	0	9
ABHD5	51099	92	92	90	8	604780	0	61
ACTN2	88	521	304	490	8	102573	24	140
ADAMTS10	81794	64	65	60	8	608990	0	36
ADAMTSL1	92949	62	60	#	8	609198	#	#
ADCY5	111	31	28	22	8	600293	0	11
AIPL1	23746	328	124	315	8	604392	7	51
AK1	203	37	35	7	8	103000	#	#
ALG11	440138	88	77	50	8	613666	1	20
ALG6	29929	98	74	86	8	604566	4	32
ANG	283	52	49	35	8	105850	2	9
AP1S2	8905	141	134	12	8	300629	0	1
AP4M1	9179	48	41	37	8	602296	0	15
ATP6V1B1	525	95	72	89	8	192132	4	32
B2M	567	58	13	3	8	109700	#	#
B3GLCT	145173	73	59	44	8	610308	0	10
B4GALT7	11285	59	55	30	8	604327	0	9
B9D1	27077	105	94	33	8	614144	2	6
BCAP31	10134	168	162	6	8	300398	0	1
BGN	633	161	151	11	8	301870	#	#
BICD2	23299	62	56	40	8	609797	0	5
C10orf105	414152	127	73	#	8	#	#	#
C12orf65	91574	59	53	44	8	613541	1	17
CA2	760	50	47	32	8	611492	1	17
CACNA1H	8912	94	91	61	8	607904	0	30
CAVIN1	284119	57	52	52	8	603198	0	23
CDH13	1012	61	61	10	8	601364	#	#
CDON	50937	258	234	219	8	608707	0	109
CENPF	1063	21	21	9	8	600236	0	1
CEP164	22897	47	45	31	8	614848	0	4
CEP83	51134	14	14	9	8	615847	0	1
CHD4	1108	32	32	9	8	603277	0	1
CHRNB2	1141	93	71	90	8	118507	6	24
CRYGC	1420	26	24	10	8	123680	0	1
CSNK2A1	1457	52	50	10	8	115440	#	#
CYP24A1	1591	81	77	76	8	126065	0	45
CYP2U1	113612	22	19	15	8	610670	0	2
CYP4F22	126410	54	52	50	8	611495	0	30
DHODH	1723	87	78	68	8	126064	3	36
DIS3L2	129563	112	100	91	8	614184	4	45
DLG3	1741	128	119	25	8	300189	1	9
DPP6	1804	65	65	11	8	126141	0	7
DRAM2	128338	17	12	13	8	613360	#	#
DSG4	147409	92	88	64	8	607892	1	43
EEF1A2	1917	81	78	57	8	602959	0	2
EIF2B2	8892	50	40	39	8	606454	0	14
EPG5	57724	54	49	17	8	615068	1	6
ERF	2077	12	11	9	8	611888	#	#
ESR1	2099	23	20	11	8	133430	0	3
FAM58A	92002	159	153	6	8	300708	#	#
FAM66A	100133172	43	43	#	8	#	#	#
FERMT3	83706	19	19	18	8	607901	0	6
FLVCR2	55640	64	59	51	8	610865	1	26
FOXF1	2294	88	86	62	8	601089	1	17
GIGYF2	26058	69	68	6	8	612003	#	#
GJB3	2707	147	73	144	8	603324	6	26
GJB6	10804	165	86	132	8	604418	4	32
GLIS3	169792	275	257	155	8	610192	0	91
GNPAT	8443	91	78	71	8	602744	3	39
GPR89A	653519	104	99	#	8	612821	#	#
GRID2	2895	33	33	5	8	602368	0	1
GTPBP3	84705	36	36	29	8	608536	0	1
HACE1	57531	16	16	8	8	610876	#	#
HAX1	10456	33	30	32	8	605998	0	8
HIVEP2	3097	17	16	11	8	143054	0	1
HMGCL	3155	48	38	46	8	613898	0	14
HMGCS2	3158	60	49	54	8	600234	6	16
HOXA13	3209	24	24	8	8	142959	#	#
HPS3	84343	132	93	121	8	606118	4	51
HSD17B10	3028	130	124	12	8	300256	0	4
IKBKAP	8518	203	154	175	8	603722	10	70
IL36RN	26525	57	56	52	8	605507	0	25
JAGN1	84522	45	40	13	8	616012	#	#
JUP	3728	376	207	371	8	173325	11	96
KCND3	3752	37	30	33	8	605411	1	6
KCNQ1-AS1	338653	321	93	#	8	#	#	#
KERA	11081	17	16	9	8	603288	#	#
KIF21A	55605	104	99	97	8	608283	0	42
KMT2B	9757	13	13	8	8	606834	#	#
KRT12	3859	34	27	29	8	601687	#	#
KRT2	3849	78	70	74	8	600194	1	17
KRT86	3892	25	17	12	8	601928	#	#
LARP7	51574	18	18	9	8	612026	0	1
LCA5	167691	84	75	78	8	611408	0	56
LPAR6	10161	50	47	10	8	609239	#	#
LPIN2	9663	293	262	209	8	605519	4	111
LRRC6	23639	66	54	38	8	614930	3	6
MARS	4141	45	40	40	8	156560	1	5
MATN3	4148	66	46	54	8	602109	0	12
MAX	4149	75	74	67	8	154950	0	28
MCFD2	90411	84	84	77	8	607788	0	50
MEA1	4201	16	13	#	8	143170	#	#
MIP	4284	41	40	39	8	154050	0	10
MMP2	4313	73	71	65	8	120360	0	38
MOCS2	4338	85	57	79	8	603708	4	14
MPLKIP	136647	26	26	8	8	609188	#	#
MT-TW	4578	11	9	10	8	590095	#	#
MTMR2	8898	104	89	97	8	603557	1	44
MTRR	4552	191	161	119	8	602568	9	37
MYOT	9499	170	83	161	8	604103	3	39
MYPN	84665	371	205	364	8	608517	12	77
NANS	54187	33	31	8	8	605202	#	#
NBEAL2	23218	132	121	130	8	614169	0	85
NEK1	4750	135	118	102	8	604588	2	54
NFE2L2	4780	78	34	#	8	600492	#	#
OLFML2B	25903	14	14	8	8	#	#	#
OPA3	80207	327	167	322	8	606580	1	79
PDCD2	5134	53	51	#	8	600866	#	#
PLEKHG5	57449	261	215	223	8	611101	10	97
PLN	5350	108	72	89	8	172405	0	34
PLOD2	5352	55	51	48	8	601865	0	27
POLN	353497	86	86	1	8	610887	0	1
PPA2	27068	12	11	9	8	609988	#	#
PPP2R5D	5528	16	13	11	8	601646	#	#
PQBP1	10084	152	139	30	8	300463	1	7
PRKCSH	5589	84	70	77	8	177060	1	20
QDPR	5860	68	67	43	8	612676	0	17
RBCK1	10616	51	50	8	8	610924	#	#
RETREG1	54463	118	107	62	8	613114	2	28
RFT1	91869	103	94	100	8	611908	2	56
RHOA	387	35	11	#	8	165390	#	#
RNASE4	6038	50	47	#	8	601030	#	#
RPS26	6231	26	24	22	8	603701	0	4
RSPH4A	345895	104	66	91	8	612647	10	21
SAR1B	51128	19	18	9	8	607690	#	#
SI	6476	116	112	98	8	609845	1	66
SLC5A5	6528	66	62	63	8	601843	0	41
SON	6651	58	52	8	8	182465	#	#
STIL	6491	132	94	130	8	181590	10	52
STXBP2	6813	83	71	79	8	601717	1	23
SUCLA2	8803	129	105	89	8	603921	5	29
TACR3	6870	39	34	35	8	162332	2	16
TACSTD2	4070	50	50	41	8	137290	0	15
TANGO2	128989	270	240	14	8	616830	0	2
TBX1	6899	280	254	20	8	602054	0	1
TCTN3	26123	55	38	46	8	613847	2	3
TENM3	55714	75	75	12	8	610083	#	#
TF	7018	59	54	50	8	190000	2	22
TMEM5	10329	40	28	35	8	605862	3	1
TNFRSF11A	8792	179	120	126	8	603499	1	39
TNFRSF11B	4982	80	73	51	8	602643	1	22
TPI1	7167	53	53	28	8	190450	0	12
TRIM14	9830	33	31	#	8	606556	#	#
TRPV3	162514	185	178	157	8	607066	0	52
TUBB	203068	15	15	12	8	191130	0	1
TYROBP	7305	28	25	24	8	604142	0	9
WASHC5	9897	128	102	98	8	610657	0	23
WNK4	65266	81	76	76	8	601844	1	19
XYLT1	64131	76	75	10	8	608124	0	2
ZFPM2	23414	54	50	27	8	603693	0	1
AAGAB	79719	13	13	7	7	614888	#	#
AASS	10157	28	28	11	7	605113	0	4
ACTA2-AS1	100132116	53	35	#	7	#	#	#
ADAMTSL2	9719	106	99	74	7	612277	0	46
ADK	132	33	33	24	7	102750	0	16
ALAD	210	89	85	64	7	125270	1	41
ALB	213	116	112	108	7	103600	0	24
ALX3	257	15	15	9	7	606014	#	#
ANGPTL3	27329	21	21	7	7	604774	#	#
ANO3	63982	24	24	11	7	610110	0	4
APBA2	321	77	75	#	7	602712	#	#
ARMC5	79798	14	14	7	7	615549	#	#
ATR	545	211	165	200	7	601215	7	76
B3GALNT2	148789	78	67	44	7	610194	0	7
BCL11A	53335	21	21	7	7	606557	#	#
BUB1	699	26	26	2	7	602452	#	#
C12orf60	144608	34	34	#	7	#	#	#
C6	729	17	17	8	7	217050	#	#
C8B	732	17	16	8	7	120960	#	#
C9	735	18	17	8	7	120940	#	#
CACNA1S	779	519	234	514	7	114208	11	75
CALM1	801	30	23	20	7	114180	#	#
CAV1	857	27	25	13	7	601047	0	1
CCBE1	147372	203	189	156	7	612753	2	94
CCND2	894	48	41	17	7	123833	#	#
CEP41	95681	112	104	97	7	610523	4	60
CEP78	84131	34	32	7	7	617110	#	#
CFI	3426	64	60	59	7	217030	1	12
CHMP2B	25978	91	59	80	7	609512	3	11
CHRDL1	91851	135	128	9	7	300350	#	#
CHRM3	1131	51	50	1	7	118494	#	#
CHRNA4	1137	285	210	260	7	118504	10	54
COL4A2	1284	249	211	182	7	120090	0	39
CRYBB2	1415	24	24	10	7	123620	#	#
CTCF	10664	34	32	16	7	604167	1	4
CTLA4	1493	32	26	15	7	123890	#	#
CTSF	8722	22	21	18	7	603539	0	1
DCHS1	8642	30	30	17	7	603057	0	5
DEAF1	10522	26	26	10	7	602635	0	2
DFNB59	494513	88	74	63	7	610219	2	27
DNAAF4-CCPG1	100533483	16	14	#	7	#	#	#
DOLK	22845	99	83	67	7	610746	4	24
DPM1	8813	42	33	34	7	603503	3	8
DPY19L2	283417	20	20	7	7	613893	#	#
DPYS	1807	76	67	40	7	613326	0	13
DSG2-AS1	100652770	308	163	#	7	#	#	#
EIF2AK3	9451	81	68	74	7	604032	2	43
EIF2B1	1967	62	58	45	7	606686	1	17
ELOVL4	6785	69	63	65	7	605512	0	30
EPHA2	1969	119	104	100	7	176946	2	17
ESPN	83715	72	71	34	7	606351	0	11
ETFA	2108	58	47	45	7	608053	3	11
FAM161A	84140	82	67	70	7	613596	1	37
FAM41C	284593	64	62	#	7	#	#	#
FANCF	2188	104	79	89	7	613897	4	40
FANCL	55120	52	43	44	7	608111	3	16
FGF10	2255	36	25	28	7	602115	0	4
FGF23	8074	122	79	92	7	605380	1	23
FN1	2335	20	20	8	7	135600	0	1
FOLR1	2348	64	47	59	7	136430	8	13
FOXE3	2301	28	24	26	7	601094	0	5
GALNTL6	442117	41	41	#	7	615138	#	#
GCNT2	2651	86	85	63	7	600429	0	39
GDF6	392255	92	82	73	7	601147	3	23
GFPT1	2673	139	127	135	7	138292	1	86
GJA5	2702	227	215	33	7	121013	0	18
GNAL	2774	65	59	7	7	139312	#	#
GNB5	10681	17	14	9	7	604447	#	#
GSS	2937	49	44	41	7	601002	3	19
GUCY2C	2984	34	34	8	7	601330	0	1
GYG1	2992	25	23	18	7	603942	#	#
HBG1	3047	49	43	41	7	142200	#	#
HCFC1	3054	273	243	99	7	300019	1	23
HINT1	3094	21	19	12	7	601314	0	1
HPS5	11234	113	91	109	7	607521	4	49
HSD3B7	80270	42	37	31	7	607764	0	8
IARS	3376	31	29	6	7	600709	#	#
IFT80	57560	89	79	72	7	611177	2	44
IMPDH1	3614	101	65	87	7	146690	0	33
IRAK4	51135	68	68	58	7	606883	0	38
ITGA7	3679	202	118	198	7	600536	17	59
KCNJ5	3762	284	161	242	7	600734	1	70
KIRREL3	84623	71	70	27	7	607761	1	12
KISS1R	84634	30	29	13	7	604161	0	1
KLHL7	55975	66	64	44	7	611119	0	24
LL22NC03-63E9.3	648691	46	42	#	7	#	#	#
LRAT	9227	181	75	167	7	604863	0	46
MASP1	5648	44	43	21	7	600521	0	10
MESP2	145873	84	67	61	7	605195	1	15
MIPEP	4285	59	55	9	7	602241	0	1
MME	4311	23	23	9	7	120520	#	#
MMP13	4322	95	58	88	7	600108	1	20
MOCS1	4337	101	99	97	7	603707	0	56
MPDZ	8777	107	105	25	7	603785	0	6
MT-TF	4558	8	7	8	7	590070	#	#
MT-TI	4565	16	12	16	7	590045	1	4
MYO19	80179	52	43	#	7	617379	#	#
NAXE	128240	11	11	7	7	608862	#	#
NBAS	51594	30	30	15	7	608025	0	5
NDUFAF1	51103	52	41	50	7	606934	6	15
NDUFAF5	79133	57	52	37	7	612360	3	4
NDUFS4	4724	51	33	44	7	602694	1	6
NEK9	91754	19	20	8	7	609798	0	1
NGLY1	55768	34	26	27	7	610661	0	1
NRL	4901	51	49	30	7	162080	0	14
NYX	60506	163	153	46	7	300278	0	9
ORAI1	84876	30	30	16	7	610277	0	2
OTULIN	90268	304	184	3	7	615712	#	#
OXCT1	5019	65	60	57	7	601424	1	34
PARK7	11315	54	55	22	7	602533	0	9
PAX8	7849	64	63	61	7	167415	1	42
PAX8-AS1	654433	20	19	#	7	#	#	#
PDE3A	5139	33	33	7	7	123805	0	1
PDE6A	5145	138	119	132	7	180071	4	76
PDSS2	57107	79	67	66	7	610564	3	29
PGAP1	80055	27	25	10	7	611655	#	#
PHKB	5257	138	113	124	7	172490	10	56
PHKG2	5261	65	57	56	7	172471	5	23
PLCG2	5336	37	37	4	7	600220	#	#
PMPCA	23203	52	49	8	7	613036	#	#
PNPT1	87178	69	59	62	7	610316	3	5
POLE	5426	836	653	796	7	174762	19	207
POLR1D	51082	51	50	30	7	613715	0	12
POLR3H	171568	30	28	#	7	#	#	#
POMC	5443	47	33	37	7	176830	0	11
POU4F3	5459	40	36	33	7	602460	0	15
PPIB	5479	50	41	46	7	123841	0	19
PPP2R1A	5518	50	20	8	7	605983	#	#
PRDM5	11107	70	64	61	7	614161	1	35
PSAT1	29968	52	50	27	7	610936	0	16
PSEN2	5664	139	79	116	7	600759	3	28
PYCR2	29920	27	27	8	7	616406	0	1
RAB3GAP2	25782	234	130	219	7	609275	6	79
RAD21	5885	56	51	25	7	606462	0	8
RAP1GAP2	23108	34	34	#	7	#	#	#
RARB	5915	16	16	7	7	180220	0	1
REN	5972	46	28	43	7	179820	0	10
RLBP1	6017	141	65	122	7	180090	2	13
RPL11	6135	22	22	20	7	604175	0	5
RPSA	3921	11	11	7	7	150370	#	#
SCNN1A	6337	171	95	146	7	600228	4	21
SEC63	11231	156	146	144	7	608648	2	49
SEPSECS	51091	88	79	72	7	613009	1	37
SERPINF1	5176	84	79	39	7	172860	1	19
SFTPC	6440	160	96	109	7	178620	2	4
SH3PXD2B	285590	152	142	143	7	613293	0	81
SLC19A1	6573	156	145	#	7	600424	#	#
SLC22A12	116085	58	56	58	7	607096	0	36
SLC35D1	23169	22	22	9	7	610804	0	1
SLC39A8	64116	12	11	7	7	608732	#	#
SLC5A2	6524	47	47	40	7	182381	0	32
SLC6A3	6531	104	104	11	7	126455	0	2
SP110	3431	67	62	51	7	604457	0	23
SP140	11262	40	36	1	7	608602	0	1
SPECC1	92521	76	74	#	7	608793	#	#
SPTLC1	10558	89	72	66	7	605712	1	16
SRCAP	10847	173	141	164	7	611421	3	61
STS	412	266	257	11	7	300747	#	#
STX1B	112755	20	20	8	7	601485	0	1
SYN1	6853	179	159	62	7	313440	3	24
SYN3	8224	113	108	3	7	602705	0	1
SYNJ1	8867	56	50	8	7	604297	0	1
TAB2	23118	21	21	9	7	605101	0	2
TBCE	6905	84	74	59	7	604934	1	32
TBK1	29110	13	13	8	7	604834	0	1
TBXAS1	6916	42	41	16	7	274180	1	6
TEK	7010	131	127	78	7	600221	0	18
TELO2	9894	39	33	15	7	611140	0	2
TGIF1	7050	120	105	34	7	602630	2	5
TMEM107	84314	20	20	1	7	616183	#	#
TMEM231	79583	79	60	48	7	614949	2	4
TMEM240	339453	104	101	9	7	616101	0	2
TRPC6	7225	127	116	117	7	603652	0	26
TTLL5	23093	21	21	7	7	612268	#	#
TUBB2A	7280	56	53	22	7	615101	1	1
TWIST2	117581	60	60	7	7	607556	#	#
VPS13C	54832	18	14	10	7	608879	#	#
VSX2	338917	132	75	122	7	142993	0	44
WASIR1	100128260	88	83	#	7	#	#	#
WNT1	7471	17	16	13	7	164820	0	2
WRAP53	55135	70	54	54	7	612661	0	24
ZFP57	346171	40	34	35	7	612192	1	14
ZFPM2-AS1	102723356	45	43	#	7	#	#	#
ZMYM5	9205	39	38	#	7	616443	#	#
ACTN1	87	13	13	7	6	102575	0	1
ADAM9	8754	81	78	44	6	602713	0	29
AMHR2	269	12	12	6	6	600956	#	#
ANTXR1	84168	12	12	8	6	606410	#	#
AP3B2	8120	22	22	6	6	602166	#	#
AP5Z1	9907	185	173	162	6	613653	3	93
APOC3	345	21	16	11	6	107720	#	#
ARHGAP11B	89839	98	93	#	6	616310	#	#
ASXL2	55252	18	18	6	6	612991	#	#
ATP2A1	487	161	144	85	6	108730	5	38
ATP9B	374868	100	97	#	6	614446	#	#
AXIN2	8313	358	258	351	6	604025	22	93
BIN1	274	162	102	154	6	601248	5	51
BMP1	649	152	112	102	6	112264	1	30
BTRC	8945	25	25	#	6	603482	#	#
C9orf66	157983	169	167	#	6	#	#	#
CALM2	805	22	17	15	6	114182	#	#
CARD11	84433	53	53	7	6	607210	0	1
CCDC114	93233	69	55	65	6	615038	0	5
CD19	930	112	111	35	6	107265	0	17
CD247	919	17	17	7	6	186780	0	2
CDH3	1001	107	101	92	6	114021	3	62
CDSN	1041	9	9	7	6	602593	#	#
CDT1	81620	88	79	45	6	605525	0	12
CERS1	10715	32	23	1	6	606919	#	#
CHSY1	22856	72	72	16	6	608183	0	6
CIITA	4261	126	125	116	6	600005	0	57
CKAP2L	150468	9	9	6	6	616174	#	#
CLCF1	23529	13	11	8	6	607672	#	#
CLMP	79827	36	37	6	6	611693	#	#
CNTNAP1	8506	11	12	6	6	602346	#	#
COG4	25839	97	78	75	6	606976	3	29
COLEC11	78989	26	26	7	6	612502	0	1
COX15	1355	122	113	112	6	603646	2	69
CSRP3	8048	173	100	169	6	600824	7	54
DENND5A	23258	13	13	6	6	617278	#	#
DFNA5	1687	121	104	102	6	608798	1	45
DHCR24	1718	77	77	71	6	606418	1	49
DHTKD1	55526	25	24	8	6	614984	#	#
DNAAF2	55172	128	78	122	6	612517	11	27
DNAAF3	352909	184	76	161	6	614566	6	26
EDARADD	128178	95	86	65	6	606603	1	37
EDN3	1908	133	73	125	6	131242	2	35
EIF2B4	8890	52	43	44	6	606687	0	19
EML1	2009	24	24	3	6	602033	#	#
EPB41	2035	10	10	6	6	130500	#	#
ETFB	2109	42	37	32	6	130410	2	3
F12	2161	130	71	98	6	610619	1	5
FAM111B	374393	9	6	9	6	615584	#	#
FAM126A	84668	114	109	89	6	610531	0	54
FAM69A	388650	24	20	#	6	614542	#	#
FGB	2244	83	76	69	6	134830	0	26
FGF14	2259	98	97	46	6	601515	0	20
FMN2	56776	67	66	13	6	606373	0	8
FTCD	10841	226	150	148	6	606806	5	46
FYCO1	79443	159	139	156	6	607182	2	84
GALK1	2584	43	35	36	6	604313	0	16
GANAB	23193	11	11	6	6	104160	#	#
GATM	2628	93	79	80	6	602360	4	22
GCM2	9247	67	67	48	6	603716	1	31
GDF1	2657	32	23	27	6	602880	1	3
GIF	2694	28	27	28	6	609342	0	13
GJB4	127534	15	14	12	6	605425	0	1
GLDN	342035	14	14	6	6	608603	#	#
GNS	2799	77	71	72	6	607664	1	43
GORAB	92344	64	62	52	6	607983	0	34
GP1BA	2811	35	32	21	6	606672	#	#
GP9	2815	34	28	27	6	173515	0	11
GRHL2	79977	59	55	36	6	608576	0	8
GRIK4	2900	31	29	4	6	600282	#	#
H19	283120	35	33	5	6	103280	#	#
HARS	3035	50	43	40	6	142810	2	22
HARS2	23438	51	41	38	6	600783	3	8
HCCS	3052	152	142	14	6	300056	1	2
HECW2	57520	27	27	9	6	617245	0	1
HELLS	3070	16	16	6	6	603946	#	#
HK1	3098	13	13	7	6	142600	#	#
HPGD	3248	144	95	104	6	601688	0	38
IDH1	3417	106	30	18	6	147700	#	#
IGF1R	3480	329	321	272	6	147370	3	198
IKZF1	10320	14	14	6	6	603023	#	#
IL11RA	3590	52	50	5	6	600939	#	#
IL17RA	23765	238	233	197	6	605461	0	126
IMPG1	3617	10	10	4	6	602870	#	#
ITGA3	3675	14	14	6	6	605025	#	#
KARS	3735	76	67	53	6	601421	1	24
KATNB1	10300	15	15	6	6	602703	#	#
KCNE2	9992	142	85	92	6	603796	4	16
KCNJ13	3769	62	61	43	6	603208	0	32
KIF1B	23095	554	219	523	6	605995	4	103
KITLG	4254	12	12	9	6	184745	0	1
KLF6	1316	38	38	12	6	602053	#	#
KMT2C	58508	151	149	11	6	606833	0	3
LHB	3972	12	13	8	6	152780	0	1
LINC01389	102724077	26	22	#	6	#	#	#
LIPT1	51601	30	31	20	6	610284	0	1
LOC100130798	100130798	75	57	#	6	#	#	#
LOC105371046	105371046	65	60	#	6	#	#	#
LOC105371049	105371049	38	38	#	6	#	#	#
LPIN1	23175	120	109	103	6	605518	0	57
